#NOME?;;
"- Porta…"",Tue Jun 08 14:40:59 +0000 2021,1439";;
"1402274461764788224,""RT @leandroruschel: Segundo a extrema-imprensa, o risco da implementação de um regime autoritário é dado por Bolsonaro, enquanto Zé Dirceu,…"",Tue Jun 08 14:40:59 +0000 2021,369";;
"1402274461710176260,""RT @leandroruschel: Segundo a extrema-imprensa, o risco da implementação de um regime autoritário é dado por Bolsonaro, enquanto Zé Dirceu,…"",Tue Jun 08 14:40:59 +0000 2021,369";;
"1402274460942667795,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:59 +0000 2021,1439";;
"1402274460414222339,""RT @cynaramenezes: bolsonaro não \""errou\"" em relação ao relatório do TCU que nunca existiu.";;
"ele jogou o vídeo no ar para criar a narrativa,…"",Tue Jun 08 14:40:59 +0000 2021,34";;
"1402274459659218948,""RT @UursoB: *URGENTE: PRESIDENTE BOLSONARO ASSINA DECRETO QUE QUEBRA SIGILO DAS MOVIMENTAÇÕES DE DINHEIRO PÚBLICO...*";;
"*A GUERRA ESTÁ DECLAR…"",Tue Jun 08 14:40:58 +0000 2021,828";;
"1402274459118096386,""RT @dariojjunior: O tal relatório do TCU foi assinado pela Minª ANA ARRAES (Vice-pres. no exercício da Presidência), pelo Min. BENJAMIN ZYM…"",Tue Jun 08 14:40:58 +0000 2021,258";;
1402274459076251653,@MarcosQuezado1 Pronto! Flávio Bolsonaro já fez seu serviço. Obrigado Senador.,Tue Jun 08 14:40:58 +0000 2021,0;;
1402274458438602761,RT @brasil247: Médicos conselheiros do CFM participaram de reunião do Gabinete Paralelo com Bolsonaro https://t.co/yqOyPUynzF,Tue Jun 08 14:40:58 +0000 2021,35;;
1402274458241540100,RT @acrigelnaninha: Vcs tão transformando o filho do bolsonaro num ícone pop. Depois aguentem as consequências.,Tue Jun 08 14:40:58 +0000 2021,2;;
"1402274457188716550,""RT @MarceloFreixo: Depois do Weintraub, Bolsonaro agora quer dar fuga ao Crivella. Esse desgoverno é uma vergonha."",Tue Jun 08 14:40:58 +0000 2021,127";;
"1402274456907792395,""RT @JairEuAcredito: O negócio da CPI é incriminar Bolsonaro de qualquer maneira.";;
"https://t.co/6QPNy3V7pI"",Tue Jun 08 14:40:58 +0000 2021,2";;
"1402274455775334406,""RT @daviazvdo_: eu te odeio bolsonaro rejeitando vacina, eu te odeio muito";;
;;
"véio brocha do caraio"",Tue Jun 08 14:40:57 +0000 2021,1";;
"1402274454605025283,""RT @OProprioToninho: Senador @OmarAzizSenador, enquanto o senhor tenta pegar o Bolsonaro, a sua mulher continua desviando dinheiro público?…"",Tue Jun 08 14:40:57 +0000 2021,247";;
"1402274454256951309,""RT @juliovschneider: Bolsonaro será reeleito!";;
Esse o Tweet. 🇧🇷;;
"#Bolsonaro2022"",Tue Jun 08 14:40:57 +0000 2021,31";;
"1402274453090930693,""RT @Valdecirdelecl1: Depois de toda a esquerda praticamente implorar, não voto mais Bolsonaro 17";;
;;
"Agora voto Bolsonaro 51"",Tue Jun 08 14:40:57 +0000 2021,36";;
