Texto,Contagem de RT's,ID,Criado em,Link
"RT @Metropoles: Imagens apontam Osmar Terra como cacique intelectual do grupo. ""Uma honra trabalhar com o senhor neste período"", afirmou Ni…",456,1400845113216152000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Damadeferroofic: URGENTE: Bolsonaro vai nomear um General para ser o novo técnico da seleção Brasileira.,419,1400845076587336000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Damadeferroofic: URGENTE: Bolsonaro vai nomear um General para ser o novo técnico da seleção Brasileira.,419,1400845092357870000,Fri Jun 04 16:01:11 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RT @Damadeferroofic: URGENTE: Bolsonaro vai nomear um General para ser o novo técnico da seleção Brasileira.,419,1400845102017303000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Damadeferroofic: URGENTE: Bolsonaro vai nomear um General para ser o novo técnico da seleção Brasileira.,419,1400845113555833000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @RenanWilbert: Eu não tenho problemas com uma pessoa não querer o Lula como presidente. É da democracia.

Meu problema é botar o Lula co…",415,1400845068643230000,Fri Jun 04 16:01:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @RenanWilbert: Eu não tenho problemas com uma pessoa não querer o Lula como presidente. É da democracia.

Meu problema é botar o Lula co…",414,1400845088192860000,Fri Jun 04 16:01:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @realpfigueiredo: O Brasil, e, principalmente a direita em geral, aplaudiam Moro. Eu não. Apanhei muito do meu público. Nunca me importe…",368,1400845089761599000,Fri Jun 04 16:01:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @miriamleitao: Leão a domicílio: Flávio Bolsonaro recebeu secretário da Receita Federal em sua casa, confirma documento - Jornal O Globo…",287,1400845049978556000,Fri Jun 04 16:01:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @startupdareal: A direita apoiou Bolsonaro elogiando em seu discurso sobre o impeachment de Dilma o torturador que inseria ratos na vagi…,277,1400845085265236000,Fri Jun 04 16:01:09 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @mkarolqueiroz: - vc é contra o governo atual? 

- veja bem, eu não gosto do PT e nem sou comunista!!!!!!!!!! 

- sim mas e o bolsonaro…",219,1400845077107384000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @mkarolqueiroz: - vc é contra o governo atual? 

- veja bem, eu não gosto do PT e nem sou comunista!!!!!!!!!! 

- sim mas e o bolsonaro…",219,1400845113157472000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @ClaraFernande38: Casa Grande pediu o impeachment do Presidente. 
O Bolsonaro disse que não era para ele meter o nariz onde não é chamad…",193,1400845081792352000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @depheliolopes: BOLSONARO CRESCE E SE FORTALECE!

#depheliolopes #minhacoréobrasil #bolsonaroaté2026 https://t.co/QnUIEDhciz",143,1400845073386988000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @depheliolopes: BOLSONARO CRESCE E SE FORTALECE!

#depheliolopes #minhacoréobrasil #bolsonaroaté2026 https://t.co/QnUIEDhciz",143,1400845101425992000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @MarinaSilva: Ao não deixar punir Pazuelo, Bolsonaro puniu nossa democracia. Essa é a única “democracia” que Bolsonaro sabe exercer. Sua…",131,1400845075027005000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @ManuelaDavila: 🚨Vídeos comprovam a existência do Ministério Paralelo que aconselha Bolsonaro no Palácio do Planalto. Enquanto e-mails d…,123,1400845084782957000,Fri Jun 04 16:01:09 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @onyxlorenzoni: +de 600MI já contratadas, 4o país que + vacina, entramos no seleto grupo dos produtores - 5 no mundo, + de 100MI de dose…",115,1400845077530952000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
